"","3 Last (C)","2 Last (C)","1a Last (C)","1b Last (C)","5 Last (C)","4 Last (C)","T mean Last","range Last"
"01:52:50","86.167","86.274","86.294","86.335","86.665","86.339","86.346","0.498"
"01:53:00","86.159","86.285","86.300","86.320","86.657","86.335","86.343","0.498"
"01:53:10","86.158","86.284","86.294","86.333","86.664","86.349","86.347","0.506"
"01:53:20","86.152","86.279","86.298","86.336","86.658","86.336","86.343","0.506"
"01:53:30","86.152","86.287","86.300","86.331","86.664","86.328","86.344","0.512"
"01:53:40","86.167","86.297","86.300","86.335","86.674","86.347","86.353","0.506"
"01:53:50","86.742","87.043","86.846","86.558","87.459","87.091","86.957","0.902"
"01:54:00","90.218","90.827","89.136","89.493","91.159","90.399","90.205","2.024"
"01:54:10","93.165","93.900","92.923","92.336","94.689","93.795","93.468","2.353"
"01:54:20","97.099","97.980","96.355","96.760","98.470","97.444","97.351","2.115"
"01:54:30","100.978","100.991","99.787","100.177","101.702","101.073","100.785","1.915"
"01:54:40","103.867","104.904","103.650","104.073","105.644","104.419","104.426","1.994"
"01:54:50","107.666","108.777","107.499","107.422","109.256","108.443","108.177","1.834"
"01:55:00","111.402","112.573","110.809","110.731","112.804","111.720","111.673","2.073"
"01:55:10","115.071","115.355","114.071","114.454","116.096","115.182","115.038","2.025"
"01:55:20","117.801","119.042","117.756","118.136","119.789","118.371","118.482","2.034"
"01:55:30","121.336","122.574","120.464","120.855","122.872","121.845","121.658","2.407"
"01:55:40","123.493","124.580","123.645","123.444","124.936","123.835","123.989","1.492"
"01:55:50","124.523","125.448","124.596","124.758","125.883","124.713","124.987","1.360"
"01:56:00","124.921","125.767","125.293","125.278","126.226","125.199","125.447","1.305"
"01:56:10","125.155","125.886","125.587","125.621","126.409","125.453","125.685","1.253"
"01:56:20","125.256","125.897","125.688","125.759","126.476","125.574","125.775","1.220"
"01:56:30","125.217","125.816","125.696","125.773","126.406","125.568","125.746","1.189"
"01:56:40","125.157","125.664","125.627","125.679","126.281","125.508","125.653","1.124"
"01:56:50","125.078","125.561","125.550","125.626","126.212","125.457","125.581","1.134"
"01:57:00","125.060","125.487","125.511","125.567","126.139","125.428","125.532","1.079"
"01:57:10","125.036","125.450","125.469","125.550","126.120","125.433","125.510","1.084"
"01:57:20","125.033","125.432","125.470","125.547","126.104","125.446","125.505","1.071"
"01:57:30","125.028","125.418","125.478","125.543","126.102","125.445","125.502","1.074"
"01:57:40","125.047","125.421","125.471","125.544","126.099","125.452","125.506","1.052"
"01:57:50","125.056","125.409","125.480","125.555","126.108","125.466","125.512","1.052"
"01:58:00","125.057","125.404","125.485","125.563","126.104","125.477","125.515","1.047"
"01:58:10","125.061","125.408","125.493","125.562","126.094","125.477","125.516","1.033"
"01:58:20","125.064","125.392","125.489","125.560","126.092","125.477","125.512","1.028"
"01:58:30","125.055","125.384","125.482","125.554","126.080","125.473","125.505","1.025"
"01:58:40","125.059","125.379","125.464","125.541","126.068","125.477","125.498","1.009"
"01:58:50","125.048","125.365","125.478","125.543","126.081","125.464","125.497","1.033"
"01:59:00","125.052","125.375","125.481","125.548","126.069","125.468","125.499","1.017"
"01:59:10","125.049","125.377","125.486","125.549","126.072","125.459","125.499","1.023"
"01:59:20","125.059","125.377","125.479","125.540","126.073","125.468","125.499","1.014"
"01:59:30","125.060","125.384","125.478","125.559","126.082","125.463","125.504","1.022"
"01:59:40","125.063","125.373","125.483","125.564","126.075","125.469","125.504","1.012"
"01:59:50","125.062","125.374","125.481","125.543","126.073","125.475","125.501","1.011"
"02:00:00","125.050","125.365","125.474","125.547","126.059","125.465","125.493","1.008"
"02:00:10","125.058","125.378","125.490","125.558","126.064","125.471","125.503","1.006"
"02:00:20","125.040","125.360","125.474","125.558","126.069","125.471","125.495","1.029"
"02:00:30","125.061","125.367","125.474","125.556","126.074","125.463","125.499","1.013"
"02:00:40","125.064","125.366","125.494","125.561","126.071","125.469","125.504","1.007"
"02:00:50","125.050","125.368","125.471","125.551","126.078","125.476","125.499","1.028"
"02:01:00","125.050","125.362","125.481","125.549","126.065","125.464","125.495","1.015"
"02:01:10","125.057","125.382","125.489","125.545","126.051","125.477","125.500","0.994"
"02:01:20","125.064","125.368","125.478","125.547","126.066","125.460","125.497","1.002"
"02:01:30","125.057","125.358","125.480","125.554","126.059","125.478","125.498","1.002"
"02:01:40","125.057","125.373","125.494","125.544","126.055","125.477","125.500","0.998"
"02:01:50","125.075","125.360","125.481","125.545","126.052","125.466","125.497","0.977"
"02:02:00","125.055","125.362","125.475","125.551","126.056","125.475","125.496","1.001"
"02:02:10","125.051","125.377","125.476","125.549","126.041","125.476","125.495","0.990"
"02:02:20","125.045","125.363","125.487","125.564","126.055","125.466","125.497","1.010"
"02:02:30","125.067","125.368","125.490","125.554","126.053","125.475","125.501","0.986"
"02:02:40","125.048","125.355","125.477","125.555","126.060","125.465","125.493","1.012"
"02:02:50","125.048","125.356","125.490","125.556","126.051","125.466","125.494","1.003"
"02:03:00","125.063","125.364","125.476","125.546","126.056","125.457","125.494","0.993"
"02:03:10","125.057","125.369","125.478","125.550","126.055","125.467","125.496","0.998"
"02:03:20","125.060","125.360","125.486","125.547","126.050","125.457","125.493","0.990"
"02:03:30","125.055","125.378","125.482","125.550","126.044","125.456","125.494","0.989"
"02:03:40","125.051","125.361","125.473","125.547","126.030","125.461","125.487","0.979"
"02:03:50","125.061","125.362","125.480","125.557","126.046","125.469","125.496","0.985"
"02:04:00","125.064","125.350","125.482","125.551","126.049","125.455","125.492","0.985"
"02:04:10","125.056","125.366","125.476","125.554","126.043","125.457","125.492","0.987"
"02:04:20","125.063","125.369","125.489","125.546","126.042","125.458","125.495","0.979"
"02:04:30","125.052","125.356","125.488","125.547","126.038","125.473","125.492","0.986"
"02:04:40","125.040","125.351","125.492","125.568","126.041","125.469","125.493","1.001"
"02:04:50","125.061","125.359","125.481","125.554","126.045","125.467","125.495","0.984"
"02:05:00","125.058","125.357","125.490","125.547","126.043","125.473","125.495","0.985"
"02:05:10","125.059","125.357","125.471","125.553","126.047","125.468","125.492","0.988"
"02:05:20","125.056","125.356","125.485","125.554","126.030","125.466","125.491","0.974"
"02:05:30","125.057","125.369","125.483","125.548","126.052","125.473","125.497","0.995"
"02:05:40","125.055","125.362","125.482","125.552","126.033","125.469","125.492","0.978"
"02:05:50","125.054","125.357","125.486","125.545","126.044","125.457","125.491","0.989"
"02:06:00","125.051","125.369","125.487","125.543","126.044","125.456","125.492","0.993"
"02:06:10","125.049","125.343","125.498","125.562","126.036","125.469","125.493","0.987"
"02:06:20","125.054","125.366","125.482","125.561","126.043","125.465","125.495","0.989"
"02:06:30","125.056","125.359","125.491","125.552","126.046","125.459","125.494","0.990"
"02:06:40","125.051","125.359","125.481","125.557","126.037","125.462","125.491","0.986"
"02:06:50","125.051","125.354","125.497","125.546","126.040","125.460","125.491","0.989"
"02:07:00","125.051","125.356","125.478","125.554","126.037","125.461","125.489","0.986"
"02:07:10","125.044","125.348","125.490","125.561","126.031","125.463","125.489","0.987"
"02:07:20","125.066","125.360","125.478","125.545","126.036","125.459","125.491","0.970"
"02:07:30","125.060","125.360","125.489","125.552","126.037","125.459","125.493","0.977"
"02:07:40","125.053","125.369","125.487","125.541","126.025","125.463","125.490","0.972"
"02:07:50","125.060","125.350","125.481","125.552","126.036","125.461","125.490","0.976"
"02:08:00","125.047","125.351","125.477","125.559","126.034","125.460","125.488","0.987"
"02:08:10","125.058","125.362","125.489","125.568","126.042","125.452","125.495","0.984"
"02:08:20","125.044","125.360","125.499","125.557","126.027","125.463","125.492","0.983"
"02:08:30","125.051","125.362","125.482","125.547","126.030","125.458","125.488","0.979"
"02:08:40","125.062","125.350","125.490","125.571","126.050","125.467","125.498","0.988"
"02:08:50","125.049","125.351","125.492","125.556","126.036","125.470","125.492","0.987"
"02:09:00","125.047","125.365","125.492","125.556","126.018","125.469","125.491","0.971"
"02:09:10","125.050","125.356","125.495","125.554","126.027","125.456","125.490","0.977"
"02:09:20","125.048","125.351","125.482","125.554","126.042","125.466","125.490","0.994"
"02:09:30","125.048","125.350","125.474","125.551","126.018","125.472","125.485","0.970"
"02:09:40","125.056","125.356","125.484","125.547","126.021","125.458","125.487","0.965"
"02:09:50","125.058","125.355","125.483","125.553","126.029","125.468","125.491","0.971"
"02:10:00","125.056","125.353","125.472","125.557","126.040","125.457","125.489","0.984"
"02:10:10","125.048","125.355","125.471","125.563","126.024","125.455","125.486","0.976"
"02:10:20","125.053","125.345","125.479","125.553","126.033","125.460","125.487","0.980"
"02:10:30","125.044","125.350","125.485","125.549","126.030","125.460","125.486","0.986"
"02:10:40","125.044","125.357","125.496","125.554","126.044","125.464","125.493","1.000"
"02:10:50","125.056","125.350","125.485","125.553","126.028","125.459","125.488","0.972"
"02:11:00","125.058","125.354","125.484","125.561","126.029","125.462","125.491","0.971"
"02:11:10","125.055","125.350","125.483","125.556","126.018","125.450","125.485","0.963"
"02:11:20","125.047","125.341","125.487","125.555","126.014","125.462","125.484","0.967"
"02:11:30","125.053","125.354","125.481","125.551","126.030","125.462","125.488","0.977"
"02:11:40","125.054","125.358","125.485","125.565","126.032","125.459","125.492","0.978"
"02:11:50","125.071","125.348","125.485","125.551","126.030","125.467","125.492","0.959"
"02:12:00","125.058","125.355","125.482","125.556","126.023","125.456","125.488","0.965"
"02:12:10","125.050","125.349","125.487","125.548","126.018","125.471","125.487","0.968"
"02:12:20","125.054","125.349","125.487","125.553","126.028","125.458","125.488","0.974"
"02:12:30","125.071","125.347","125.485","125.540","126.009","125.456","125.485","0.939"
"02:12:40","125.057","125.339","125.484","125.552","126.020","125.462","125.486","0.963"
"02:12:50","125.051","125.350","125.480","125.555","126.026","125.461","125.487","0.974"
"02:13:00","125.055","125.358","125.490","125.554","126.029","125.463","125.491","0.974"
"02:13:10","125.059","125.347","125.491","125.552","126.020","125.455","125.487","0.961"
"02:13:20","125.055","125.351","125.481","125.549","126.030","125.470","125.489","0.975"
"02:13:30","125.051","125.354","125.490","125.562","126.029","125.465","125.492","0.978"
"02:13:40","125.053","125.350","125.470","125.554","126.024","125.461","125.485","0.971"
"02:13:50","125.066","125.345","125.488","125.553","126.017","125.454","125.487","0.951"
"02:14:00","125.052","125.352","125.483","125.559","126.022","125.447","125.486","0.970"
"02:14:10","125.062","125.360","125.496","125.548","126.035","125.454","125.492","0.973"
"02:14:20","125.051","125.347","125.492","125.548","126.025","125.446","125.485","0.974"
"02:14:30","125.057","125.356","125.490","125.559","126.020","125.457","125.490","0.963"
"02:14:40","125.058","125.348","125.481","125.557","126.016","125.447","125.484","0.958"
"02:14:50","125.066","125.352","125.486","125.549","126.013","125.456","125.487","0.947"
"02:15:00","125.056","125.332","125.490","125.536","126.011","125.459","125.481","0.956"
"02:15:10","125.052","125.353","125.474","125.541","126.024","125.451","125.482","0.972"
"02:15:20","125.055","125.339","125.464","125.549","126.012","125.455","125.479","0.958"
"02:15:30","125.058","125.347","125.478","125.539","126.005","125.447","125.479","0.948"
"02:15:40","125.060","125.341","125.481","125.565","126.025","125.467","125.490","0.965"
"02:15:50","125.053","125.350","125.480","125.552","126.011","125.451","125.483","0.959"
"02:16:00","125.046","125.341","125.487","125.556","126.016","125.469","125.486","0.970"
"02:16:10","125.050","125.348","125.494","125.553","126.016","125.464","125.487","0.966"
"02:16:20","125.053","125.341","125.480","125.558","126.020","125.463","125.486","0.967"
"02:16:30","125.059","125.359","125.492","125.560","126.020","125.449","125.490","0.961"
"02:16:40","125.051","125.337","125.499","125.576","126.025","125.454","125.490","0.974"
"02:16:50","125.062","125.343","125.482","125.551","126.018","125.459","125.486","0.956"
"02:17:00","125.050","125.354","125.472","125.549","126.007","125.466","125.483","0.958"
"02:17:10","125.043","125.342","125.487","125.561","126.024","125.464","125.487","0.981"
"02:17:20","125.048","125.354","125.491","125.551","126.006","125.453","125.484","0.959"
"02:17:30","125.052","125.333","125.479","125.544","126.018","125.455","125.480","0.966"
"02:17:40","125.059","125.342","125.478","125.546","126.002","125.457","125.481","0.944"
"02:17:50","125.054","125.346","125.479","125.552","126.017","125.468","125.486","0.963"
"02:18:00","125.046","125.345","125.485","125.549","126.021","125.463","125.485","0.975"
"02:18:10","125.043","125.349","125.497","125.551","126.015","125.457","125.485","0.972"
"02:18:20","125.053","125.348","125.488","125.551","126.010","125.460","125.485","0.957"
"02:18:30","125.060","125.356","125.507","125.552","126.009","125.453","125.490","0.950"
"02:18:40","125.056","125.346","125.481","125.564","126.018","125.460","125.487","0.962"
"02:18:50","125.045","125.354","125.490","125.549","126.018","125.459","125.486","0.973"
"02:19:00","125.069","125.342","125.489","125.565","126.022","125.452","125.490","0.953"
"02:19:10","125.051","125.341","125.482","125.556","126.017","125.457","125.484","0.966"
"02:19:20","125.055","125.350","125.489","125.544","126.017","125.470","125.487","0.962"
"02:19:30","125.060","125.353","125.502","125.555","126.020","125.458","125.491","0.960"
"02:19:40","125.052","125.342","125.487","125.555","126.011","125.455","125.484","0.960"
"02:19:50","125.058","125.349","125.482","125.552","126.016","125.462","125.486","0.957"
"02:20:00","125.054","125.348","125.486","125.545","126.007","125.452","125.482","0.954"
"02:20:10","125.059","125.352","125.496","125.556","126.007","125.453","125.487","0.949"
"02:20:20","125.059","125.341","125.495","125.566","126.018","125.453","125.489","0.959"
"02:20:30","125.053","125.339","125.495","125.559","126.012","125.459","125.486","0.960"
"02:20:40","125.061","125.339","125.477","125.557","126.005","125.453","125.482","0.945"
"02:20:50","125.050","125.349","125.484","125.556","126.010","125.456","125.484","0.961"
"02:21:00","125.054","125.358","125.484","125.553","126.014","125.459","125.487","0.960"
"02:21:10","125.049","125.347","125.476","125.553","126.015","125.457","125.483","0.966"
"02:21:20","125.044","125.348","125.490","125.557","126.002","125.455","125.483","0.959"
"02:21:30","125.044","125.351","125.476","125.551","126.002","125.456","125.480","0.959"
"02:21:40","125.055","125.339","125.495","125.558","125.997","125.476","125.487","0.943"
"02:21:50","125.054","125.350","125.484","125.562","126.007","125.449","125.484","0.954"
"02:22:00","125.062","125.347","125.489","125.547","126.010","125.465","125.487","0.949"
"02:22:10","125.058","125.338","125.492","125.559","126.011","125.451","125.485","0.954"
"02:22:20","125.057","125.349","125.491","125.558","126.007","125.458","125.487","0.951"
"02:22:30","125.047","125.335","125.486","125.550","126.001","125.458","125.480","0.955"
"02:22:40","125.073","125.359","125.502","125.564","126.009","125.454","125.494","0.937"
"02:22:50","125.059","125.359","125.494","125.558","126.014","125.466","125.492","0.955"
"02:23:00","125.054","125.342","125.490","125.562","126.016","125.449","125.485","0.962"
"02:23:10","125.041","125.355","125.497","125.561","126.015","125.462","125.488","0.974"
"02:23:20","125.064","125.346","125.483","125.547","126.015","125.460","125.486","0.950"
"02:23:30","125.043","125.348","125.496","125.548","126.016","125.456","125.484","0.973"
"02:23:40","125.055","125.345","125.494","125.558","126.012","125.449","125.486","0.958"
"02:23:50","125.048","125.338","125.497","125.547","126.009","125.457","125.483","0.962"
"02:24:00","125.057","125.344","125.479","125.551","125.993","125.459","125.481","0.937"
"02:24:10","125.040","125.339","125.492","125.559","126.011","125.461","125.484","0.972"
"02:24:20","125.061","125.333","125.481","125.554","126.012","125.460","125.484","0.951"
"02:24:30","125.051","125.335","125.484","125.549","126.006","125.454","125.480","0.956"
"02:24:40","125.046","125.344","125.494","125.556","126.008","125.447","125.483","0.963"
"02:24:50","125.048","125.350","125.486","125.561","125.997","125.455","125.483","0.950"
"02:25:00","125.048","125.339","125.484","125.551","126.002","125.453","125.480","0.955"
"02:25:10","125.060","125.343","125.479","125.562","126.004","125.441","125.482","0.945"
"02:25:20","125.057","125.346","125.493","125.565","126.008","125.458","125.488","0.952"
"02:25:30","125.051","125.345","125.494","125.544","126.005","125.457","125.483","0.954"
"02:25:40","125.053","125.350","125.493","125.554","126.008","125.448","125.484","0.955"
"02:25:50","125.056","125.343","125.494","125.549","126.007","125.452","125.484","0.952"
"02:26:00","125.043","125.343","125.488","125.558","126.020","125.453","125.484","0.977"
"02:26:10","125.042","125.348","125.488","125.555","126.011","125.457","125.484","0.970"
"02:26:20","125.055","125.352","125.487","125.556","126.010","125.457","125.486","0.956"
"02:26:30","125.067","125.342","125.487","125.565","126.010","125.475","125.491","0.944"
"02:26:40","125.039","125.349","125.501","125.554","125.994","125.451","125.481","0.956"
"02:26:50","125.064","125.350","125.485","125.550","126.009","125.453","125.485","0.946"
"02:27:00","125.057","125.355","125.497","125.550","126.019","125.458","125.489","0.962"
"02:27:10","125.054","125.351","125.480","125.560","126.011","125.462","125.486","0.957"
"02:27:20","125.057","125.352","125.499","125.561","125.999","125.446","125.486","0.943"
"02:27:30","125.052","125.351","125.490","125.556","126.000","125.463","125.485","0.949"
"02:27:40","125.056","125.339","125.495","125.557","125.993","125.463","125.484","0.938"
"02:27:50","125.056","125.348","125.489","125.555","125.998","125.458","125.484","0.943"
"02:28:00","125.051","125.343","125.491","125.558","125.988","125.447","125.480","0.938"
"02:28:10","125.052","125.341","125.479","125.554","125.996","125.465","125.481","0.945"
"02:28:20","125.048","125.338","125.486","125.553","126.002","125.451","125.480","0.955"
"02:28:30","125.048","125.334","125.477","125.551","126.001","125.449","125.477","0.954"
"02:28:40","125.053","125.339","125.490","125.563","125.996","125.455","125.483","0.943"
"02:28:50","125.055","125.341","125.481","125.552","125.993","125.454","125.479","0.939"
"02:29:00","125.048","125.333","125.497","125.545","125.988","125.440","125.475","0.941"
"02:29:10","125.045","125.345","125.481","125.563","125.998","125.456","125.481","0.954"
"02:29:20","125.054","125.345","125.501","125.551","126.003","125.449","125.484","0.950"
"02:29:30","125.056","125.347","125.486","125.552","126.005","125.453","125.483","0.950"
"02:29:40","125.050","125.350","125.493","125.557","126.011","125.447","125.485","0.962"
"02:29:50","125.054","125.342","125.501","125.561","126.003","125.456","125.486","0.950"
"02:30:00","125.057","125.350","125.491","125.553","126.004","125.461","125.486","0.948"
"02:30:10","125.049","125.346","125.486","125.560","125.998","125.466","125.484","0.950"
"02:30:20","125.050","125.338","125.491","125.539","126.011","125.452","125.480","0.962"
"02:30:30","125.051","125.352","125.479","125.557","125.994","125.455","125.482","0.943"
"02:30:40","125.065","125.331","125.473","125.546","126.003","125.448","125.478","0.939"
"02:30:50","125.041","125.352","125.491","125.558","126.006","125.451","125.483","0.966"
"02:31:00","125.054","125.336","125.492","125.542","126.000","125.452","125.479","0.947"
"02:31:10","125.053","125.343","125.486","125.558","126.011","125.438","125.482","0.959"
"02:31:20","125.055","125.345","125.478","125.563","125.996","125.465","125.484","0.942"
"02:31:30","125.054","125.345","125.491","125.552","126.002","125.453","125.483","0.949"
"02:31:40","125.047","125.338","125.488","125.563","126.001","125.458","125.483","0.955"
"02:31:50","125.053","125.349","125.495","125.566","126.003","125.463","125.488","0.951"
"02:32:00","125.057","125.347","125.490","125.550","126.003","125.451","125.483","0.946"
"02:32:10","125.050","125.337","125.485","125.553","126.005","125.465","125.483","0.956"
"02:32:20","125.057","125.340","125.497","125.558","126.000","125.459","125.485","0.944"
"02:32:30","125.063","125.338","125.481","125.559","126.007","125.457","125.484","0.945"
"02:32:40","125.052","125.346","125.490","125.542","125.996","125.461","125.481","0.945"
"02:32:50","125.055","125.344","125.494","125.548","126.007","125.453","125.484","0.953"
"02:33:00","125.051","125.329","125.492","125.555","126.004","125.453","125.481","0.954"
"02:33:10","125.062","125.330","125.493","125.547","125.999","125.460","125.482","0.937"
"02:33:20","125.039","125.332","125.494","125.551","126.000","125.455","125.479","0.962"
"02:33:30","125.061","125.335","125.482","125.558","125.987","125.454","125.479","0.927"
"02:33:40","125.050","125.344","125.501","125.551","125.995","125.444","125.481","0.946"
"02:33:50","125.041","125.345","125.495","125.557","125.996","125.449","125.481","0.956"
"02:34:00","125.051","125.345","125.484","125.549","125.990","125.458","125.480","0.940"
"02:34:10","125.042","125.348","125.490","125.574","125.995","125.458","125.484","0.954"
"02:34:20","125.050","125.340","125.494","125.561","125.997","125.451","125.482","0.948"
"02:34:30","125.057","125.336","125.493","125.553","125.999","125.456","125.482","0.943"
"02:34:40","125.059","125.338","125.497","125.554","125.994","125.454","125.483","0.936"
"02:34:50","125.062","125.330","125.487","125.563","125.995","125.451","125.481","0.934"
"02:35:00","125.036","125.342","125.489","125.561","126.004","125.453","125.481","0.969"
"02:35:10","125.046","125.336","125.492","125.555","125.994","125.444","125.478","0.949"
"02:35:20","125.047","125.332","125.485","125.551","125.981","125.452","125.475","0.935"
"02:35:30","125.043","125.341","125.486","125.543","125.985","125.449","125.475","0.943"
"02:35:40","125.047","125.329","125.474","125.551","125.985","125.453","125.473","0.939"
"02:35:50","125.057","125.334","125.494","125.542","125.984","125.453","125.477","0.928"
"02:36:00","125.051","125.350","125.482","125.552","125.989","125.450","125.479","0.938"
"02:36:10","125.064","125.335","125.491","125.555","125.993","125.457","125.483","0.930"
"02:36:20","125.048","125.339","125.491","125.563","125.993","125.459","125.482","0.946"
"02:36:30","125.047","125.329","125.499","125.560","125.999","125.464","125.483","0.953"
"02:36:40","125.054","125.333","125.492","125.560","125.995","125.465","125.483","0.942"
"02:36:50","125.066","125.354","125.490","125.552","125.999","125.457","125.486","0.934"
"02:37:00","125.054","125.335","125.487","125.558","126.001","125.448","125.481","0.948"
"02:37:10","125.060","125.335","125.488","125.543","125.994","125.470","125.482","0.935"
"02:37:20","125.066","125.338","125.487","125.551","125.999","125.456","125.483","0.934"
"02:37:30","125.064","125.335","125.476","125.561","125.998","125.446","125.480","0.935"
"02:37:40","125.056","125.340","125.486","125.560","125.997","125.447","125.481","0.942"
"02:37:50","125.056","125.322","125.480","125.567","125.999","125.457","125.480","0.944"
"02:38:00","125.062","125.341","125.500","125.554","125.992","125.450","125.483","0.931"
"02:38:10","125.052","125.344","125.486","125.556","125.997","125.453","125.481","0.946"
"02:38:20","125.067","125.333","125.497","125.558","125.995","125.453","125.484","0.929"
"02:38:30","125.052","125.345","125.481","125.570","125.997","125.451","125.483","0.946"
"02:38:40","125.055","125.340","125.486","125.560","125.993","125.459","125.482","0.939"
"02:38:50","125.057","125.328","125.481","125.559","125.995","125.449","125.478","0.939"
"02:39:00","125.053","125.337","125.483","125.549","125.987","125.458","125.478","0.935"
"02:39:10","125.057","125.340","125.491","125.553","125.992","125.449","125.480","0.936"
"02:39:20","125.673","126.139","126.059","125.826","126.987","126.227","126.152","1.314"
"02:39:30","128.881","129.610","128.990","128.550","129.937","129.473","129.240","1.388"
"02:39:40","132.435","133.342","131.570","132.007","133.558","132.529","132.573","1.987"
"02:39:50","135.960","136.082","135.062","135.518","136.726","136.024","135.895","1.664"
"02:40:00","138.567","139.685","137.684","138.160","140.278","139.055","138.905","2.593"
"02:40:10","142.000","142.326","141.148","141.640","143.348","142.491","142.159","2.199"
"02:40:20","145.394","145.765","144.563","145.073","146.376","145.448","145.437","1.813"
"02:40:30","147.479","148.674","147.579","147.410","149.184","147.901","148.038","1.773"
"02:40:40","148.998","150.054","149.273","149.292","150.592","149.516","149.621","1.594"
"02:40:50","149.786","150.708","149.976","150.276","151.261","150.125","150.355","1.474"
"02:41:00","150.119","150.919","150.493","150.756","151.501","150.508","150.716","1.382"
"02:41:10","150.229","150.999","150.697","150.927","151.611","150.673","150.856","1.382"
"02:41:20","150.300","150.998","150.793","151.016","151.644","150.766","150.920","1.344"
"02:41:30","150.300","150.928","150.804","151.040","151.621","150.774","150.911","1.321"
"02:41:40","150.228","150.832","150.744","150.980","151.523","150.724","150.839","1.296"
"02:41:50","150.158","150.714","150.650","150.915","151.432","150.653","150.754","1.273"
"02:42:00","150.080","150.606","150.598","150.816","151.325","150.596","150.670","1.245"
"02:42:10","150.062","150.570","150.539","150.779","151.305","150.575","150.638","1.243"
"02:42:20","150.071","150.555","150.535","150.782","151.310","150.605","150.643","1.239"
"02:42:30","150.104","150.589","150.567","150.805","151.353","150.640","150.676","1.249"
"02:42:40","150.134","150.636","150.606","150.841","151.377","150.674","150.711","1.242"
"02:42:50","150.175","150.647","150.625","150.872","151.395","150.710","150.737","1.220"
"02:43:00","150.171","150.641","150.638","150.871","151.396","150.708","150.738","1.224"
"02:43:10","150.163","150.632","150.631","150.861","151.368","150.687","150.724","1.205"
"02:43:20","150.138","150.607","150.608","150.842","151.340","150.677","150.702","1.202"
"02:43:30","150.114","150.576","150.594","150.824","151.320","150.650","150.680","1.206"
"02:43:40","150.105","150.552","150.574","150.812","151.304","150.638","150.664","1.199"
"02:43:50","150.107","150.545","150.559","150.805","151.300","150.637","150.659","1.193"
"02:44:00","150.113","150.550","150.568","150.801","151.307","150.654","150.666","1.194"
"02:44:10","150.127","150.553","150.579","150.826","151.316","150.663","150.677","1.189"
"02:44:20","150.131","150.562","150.591","150.827","151.333","150.659","150.684","1.202"
"02:44:30","150.139","150.569","150.596","150.839","151.326","150.684","150.692","1.187"
"02:44:40","150.145","150.574","150.601","150.841","151.340","150.679","150.697","1.195"
"02:44:50","150.140","150.577","150.607","150.837","151.339","150.686","150.698","1.199"
"02:45:00","150.148","150.571","150.610","150.854","151.318","150.677","150.696","1.170"
"02:45:10","150.139","150.568","150.602","150.838","151.328","150.666","150.690","1.189"
"02:45:20","150.151","150.566","150.583","150.839","151.313","150.663","150.686","1.162"
"02:45:30","150.132","150.562","150.586","150.834","151.321","150.664","150.683","1.189"
"02:45:40","150.131","150.555","150.582","150.824","151.319","150.664","150.679","1.188"
"02:45:50","150.132","150.555","150.578","150.825","151.325","150.668","150.681","1.193"
"02:46:00","150.131","150.572","150.587","150.823","151.321","150.666","150.684","1.190"
"02:46:10","150.116","150.558","150.585","150.818","151.315","150.653","150.674","1.199"
"02:46:20","150.124","150.557","150.582","150.816","151.321","150.660","150.677","1.197"
"02:46:30","150.128","150.556","150.596","150.838","151.310","150.658","150.681","1.182"
"02:46:40","150.132","150.563","150.593","150.838","151.313","150.668","150.685","1.181"
"02:46:50","150.124","150.559","150.588","150.831","151.317","150.670","150.682","1.193"
"02:47:00","150.138","150.565","150.603","150.824","151.313","150.657","150.683","1.175"
"02:47:10","150.142","150.560","150.588","150.834","151.319","150.689","150.689","1.177"
"02:47:20","150.132","150.576","150.608","150.835","151.324","150.677","150.692","1.192"
"02:47:30","150.139","150.566","150.592","150.841","151.320","150.684","150.690","1.181"
"02:47:40","150.132","150.560","150.605","150.841","151.323","150.672","150.689","1.191"
"02:47:50","150.133","150.573","150.596","150.835","151.328","150.671","150.689","1.195"
"02:48:00","150.136","150.565","150.593","150.827","151.315","150.663","150.683","1.179"
"02:48:10","150.139","150.562","150.600","150.835","151.305","150.656","150.683","1.166"
"02:48:20","150.147","150.566","150.597","150.844","151.319","150.665","150.690","1.172"
"02:48:30","150.124","150.569","150.592","150.843","151.315","150.676","150.687","1.191"
"02:48:40","150.145","150.569","150.601","150.830","151.323","150.669","150.690","1.178"
"02:48:50","150.142","150.562","150.602","150.846","151.317","150.683","150.692","1.175"
"02:49:00","150.134","150.568","150.596","150.847","151.317","150.664","150.688","1.183"
"02:49:10","150.139","150.568","150.612","150.838","151.307","150.658","150.687","1.167"
"02:49:20","150.143","150.554","150.605","150.842","151.314","150.665","150.687","1.171"
"02:49:30","150.135","150.570","150.605","150.846","151.312","150.655","150.687","1.177"
"02:49:40","150.125","150.544","150.597","150.836","151.301","150.664","150.678","1.176"
"02:49:50","150.137","150.570","150.594","150.843","151.320","150.659","150.687","1.183"
"02:50:00","150.129","150.558","150.600","150.839","151.306","150.660","150.682","1.177"
"02:50:10","150.141","150.556","150.607","150.827","151.319","150.669","150.687","1.178"
"02:50:20","150.135","150.564","150.599","150.843","151.319","150.664","150.687","1.184"
"02:50:30","150.145","150.561","150.608","150.832","151.321","150.671","150.690","1.176"
"02:50:40","150.132","150.552","150.617","150.830","151.320","150.668","150.687","1.188"
